DIRECTORIO;TIP_FOR;P1;P1S1;P2;P2S1;P5;CTL_1;P8R;P9;P10R;P11R;P12;P13;P15R;P16S1;P16S2;P16S3;P16S4;P16S5;P16S6;P16S7;P16S8;P16S9;P17;P17S1;P17S2;P17S3;P17S4;P17S5;P17S6;P17S7;P17S8;P17S9;P17S10;P18;P19;P20;P20S1;P20S2;P20S3;P20S4;P20S5;P20S1A1;P20S2A1;P20S3A1;P20S4A1;P20S5A1;P21R;P22;P23;P23S1R;P23S2R;P24;P25;P26;P26S1;P26S2;P26S3;P26S4;P26S5;P26S6;P26_1;P26_2S1;P26_2S2;P26_2S3;P26_2S4;P26_2S5;P26_2S6;P26_2S7;P26_2S8;P27;P28R;P29;P30;P30S1;P30S2;P30S3;P30S4;P30S5;P30S6;P30S7;P30S8;P30S9;P30S1A1;P30S2A1;P30S3A1;P30S4A1;P30S5A1;P30S6A1;P30S7A1;P30S8A1;P30S9A1;P30_1;P30_2;P31;P32;P32S1;P32S2;P32S3;P32S4;P32S5;P32S6;P32S7;P32S8;P33;P33S1;P33S2;P33S3;P33S4;P33S5;P33S6;P33_1;P33_2;P33_2S1;P33_2S2;P33_2S3;P33_2S4;P33_2S5;P34;P35;P36R;P37S1;P37S2;P37S3;P37S4;P37S5;P37S6;P37S7;COMPLETA
1303;2;50;50001;1;03;1;1;18;2;3;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;2;0;1;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;4;5; ;2;2;2;2;2;1;2;2;2; ; ; ; ; ;16; ; ; ;6;1;2; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;2;1; ;1;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1304;2;50;50001;1;04;2;1;58;1;3;2;1;3;6;4;3;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;2; ;53;0;2;9; ;2;2;2;1;1;2;4; ;1;1; ; ; ; ; ;2;8;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;1; ;1;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1305;2;50;50001;1;02;1;1;75;1;3;2;1;1;6;4;4;3;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;2; ;20;0;2;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;2;8;1; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1306;2;50;50001;1;04;2;1;54;1;3;1;1;3;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;1; ; ; ; ;1;1; ;15;0;10;3; ;2;2;2;1;2;2;4; ;1;1; ;1; ;1;1;1;7;9; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1307;2;50;50001;1;04;2;1;25;1;3;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;2; ;0;2;3;1; ;1;2;2;2;1;2;5;1;1;1;1; ;1; ; ;1;2;9; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;1;1; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1308;2;50;50001;1;02;1;1;38;1;3;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;5; ;17;0;4;3; ;2;1;2;2;2;2;2;1;1; ; ; ; ; ; ;1;3;5; ;1;1;1;2;1;1;2;2;2;17;20;15; ;15;15; ; ; ;3;2;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;1; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1309;2;50;50001;1;04;2;1;53;1;3;2;1;3;6;4;4;3;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;7; ;16;0;10;1; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;5;9; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;2; ;1; ; ; ; ; ; ; ;1;2;1;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1310;2;50;50001;1;04;2;1;31;1;3;2;1;3;6;4;4;3;4;4;4;4;4;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;1; ;2;0;1;1; ;2;2;2;1;2;2;4; ;1;1; ; ; ; ;1;1;6;3; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1311;2;50;50001;1;04;1;1;17;1;4;3;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7; ;0;7;7;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;4; ;1;2;1;2;2;1;2;2;2;15; ;15; ; ;16; ; ; ;3;3;2; ; ; ; ; ; ; ; ; ; ;2;2;1;2;2;2;1; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1
1312;2;50;50001;1;03;1;1;21;1;3;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7; ;6;0;2;1; ;1;2;2;2;2;2;1;1;1; ; ; ; ; ; ;1;4;5; ;1;2;1;1;1;1;2;1;2;15; ;15;15;15;15; ;15; ;6;1;2; ; ; ; ; ; ; ; ; ; ;1;2;1;1;2;2;2; ;2;2;1;1;1;1; ; ; ; ; ; ; ; ; ;1
1313;2;50;50001;1;07;1;1;40;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;1; ; ; ; ; ; ; ;1; ; ;10; ; ;2;2;2;2;2; ; ; ; ; ;2;1; ;8;0;1;1; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;3;5; ;2;2;1;2;2;1;2;2;2; ; ;17; ; ;20; ; ; ;3;2;1;2; ; ; ; ; ; ;1; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1314;2;50;50001;1;04;2;1;34;1;3;2;1;3;6;4;4;4;4;4;3;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;1; ;14;1;2;2; ;2;2;2;1;2;2;4; ;1;1; ; ; ; ; ;1;3;3; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ;1; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;1;1; ; ; ; ; ; ; ; ; ;1
1315;2;50;50001;1;04;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;37;1; ; ; ; ; ; ;1
1316;2;50;50001;1;04;2;1;27;1;3;2;1;3;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;1; ;11;0;7;3; ;2;2;2;1;2;2;4; ;1;1; ; ; ; ; ;1;5;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;1;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1317;2;50;50001;1;03;1;1;30;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7; ;15;0;1;1; ;2;2;1;2;2;2;3; ;1;1; ; ; ; ; ;1;2;1; ;1;2;1;2;2;1;2;2;2;15; ;15; ; ;15; ; ; ;6;1;2; ; ; ; ; ; ; ; ; ; ;2;2;1;2;2;2;1; ;2;2;2;1;2;1; ; ; ; ; ; ; ; ; ;1
1318;2;50;50001;1;01;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;60; ; ;1; ; ; ; ;1
1319;2;50;50001;1;04;2;1;30;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;1; ;1;8;1;1; ;2;2;2;1;2;2;4; ;1; ; ; ; ; ; ;1;3;7; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;1;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1320;2;50;50001;1;02;1;1;24;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7; ;1;6;4;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;5; ;1;2;1;2;2;1;2;2;2;22; ;20; ; ;23; ; ; ;6;1;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1321;2;50;50001;1;03;1;1;40;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;1; ;3;0;7;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;5;5; ;1;1;2;2;2;1;2;2;1;15;28; ; ; ;18; ; ;18;6;2;1;2; ; ; ; ; ; ;1; ; ;2;2;2;2;2;2;1; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1322;2;50;50001;1;04;1;1;30;1;5;2;1;1;6;3;4;3;4;4;3;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;7; ;25;0;9;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;2;8;5; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1323;2;50;50001;1;04;2;1;37;1;3;1;1;3;6;4;4;4;4;4;3;4;3;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;5;0;1;3; ;2;2;2;1;2;2;4; ;1;1; ; ; ; ; ;1;2;1; ;2;2;2;2;2;1;2;2;2; ; ; ; ; ;30; ; ; ;6;2;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;1; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1324;2;50;50001;1;07;1;1;41;1;3;2;1;1;6;4;4;3;3;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;9; ;30;0;1;1; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;5; ;1;2;1;2;2;1;2;2;2;15; ;15; ; ;15; ; ; ;6;4;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1325;2;50;50001;1;03;1;1;22;1;4;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;7; ;15;0;2;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;3;9; ;1;1;1;1;1;1;2;1;2;15;15;15;15;15;15; ;15; ;6;1;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;1; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1326;2;50;50001;1;04;2;1;21;1;3;1;1;3;6;4;4;3;3;3;4;4;4;3;1; ;1; ; ; ; ; ; ; ; ;9; ; ;2;2;2;2;2; ; ; ; ; ;1;7; ;0;1;10;1; ;1;2;2;1;2;2;1;1; ; ; ; ; ; ; ;1;2;3; ;1;1;2;2;2;2;2;2;2;15;15; ; ; ; ; ; ; ;1; ;2; ; ; ; ; ; ; ; ; ; ;1;2;1;1;2;2;1; ;1;1;1;1;1;1; ; ; ; ; ; ; ; ; ;1
1327;2;50;50001;1;04;2;1;43;1;3;2;1;3;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;12;1;1;1; ;1;2;2;1;2;2;4; ;1;1;1; ;1; ;1;1;5;3; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ;1; ;1;1;1;1;1;1;2; ;2;2;1;1;1;1; ; ; ; ; ; ; ; ; ;1
1328;2;50;50001;1;02;1;1;44;1;5;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;5; ;20;0;2;9; ;2;1;2;1;2;2;2; ;1; ; ; ; ; ;1;2;8;1; ;1;1;2;2;2;1;2;2;2;18;18; ; ; ;20; ; ; ;6;2;2; ; ; ; ; ; ; ; ; ; ;2;2;1;2;2;2;2; ;2;2;2;2;1;1; ; ; ; ; ; ; ; ; ;1
1329;2;50;50001;1;02;1;1;43;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;1; ;4;2;2;9; ;2;1;2;2;2;2;2; ;1;1; ; ; ; ; ;1;4;1; ;2;2;1;2;2;1;2;2;2; ; ;15; ; ;38; ; ; ;3;3;1;2;1; ; ; ; ; ; ; ; ;2;2;1;2;2;2;2; ;2;2;2;1;1;1; ; ; ; ; ; ; ; ; ;1
1330;2;50;50001;1;04;1;1;30;1;3;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;4; ;7;0;2;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;4; ;2;2;1;2;2;1;2;2;2; ; ;15; ; ;15; ; ; ;6;1;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1331;2;50;50001;1;04;2;1;40;1;3;2;1;3;6;3;4;3;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;17;1;1;1; ;2;2;1;1;1;2;3;1;1;1; ; ; ; ; ;1;6;9; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;1;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1332;2;50;50001;1;08;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;23; ; ; ; ;1; ; ;1
1333;2;50;50001;1;04;1;1;28;1;3;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;7; ;5;0;4;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;4; ;1;1;2;2;2;2;2;2;2;15;15; ; ; ; ; ; ; ;1; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1334;2;50;50001;1;02;1;1;31;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7; ;1;6;7;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;4;4; ;1;2;2;2;2;1;2;2;2;24; ; ; ; ;20; ; ; ;6;3;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1335;2;50;50001;1;04;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;35; ; ; ; ;1; ; ;1
1336;2;50;50001;1;04;2;1;58;1;3;2;1;3;6;4;4;3;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;7; ;48;0;2;3; ;2;2;2;1;2;2;4; ;1;1; ; ; ; ; ;1;2;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;2;1; ; ; ; ; ; ; ; ;2;2;2;2;1;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1337;2;50;50001;1;03;1;1;19;1;3;3;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7; ;0;3;7;1; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;3;5; ;1;2;2;2;2;1;2;2;2;15; ; ; ; ;19; ; ; ;1;2;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1338;2;50;50001;1;04;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;24; ; ; ; ;1; ; ;1
1339;2;50;50001;1;02;1;1;30;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7; ;3;0;7;9; ;2;2;2;2;1;2;5; ;1;1;1; ; ; ;1;1;3;1; ;1;1;1;2;2;1;2;2;2;18;19;18; ; ;20; ; ; ;6;1;2; ; ; ; ; ; ; ; ; ; ;2;2;1;1;2;2;1; ;2;2;2;2;1;1; ; ; ; ; ; ; ; ; ;1
1340;2;50;50001;1;04;2;1;61;1;3;1;1;3;6;3;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;21;8;10;9; ;2;2;2;1;2;2;4; ;1;1; ;1;1;1;1;1;6;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1341;2;50;50001;1;04;2;1;23;1;3;2;1;3;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;1; ;4;1;2;1; ;1;2;2;1;1;2;1;1; ; ; ; ; ; ; ;1;3;9; ;1;2;2;2;2;2;2;2;2;15; ; ; ; ; ; ; ; ;1; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;1;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1342;2;50;50001;1;04;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;25; ; ; ; ;1; ; ;1
1343;2;50;50001;1;03;1;1;30;2;3;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7; ;3;0;7;5; ;1;2;2;2;2;2;1; ;1; ; ; ; ; ; ;1;2;5; ;1;2;1;2;2;1;2;2;2;15; ;15; ; ;15; ; ; ;6;1;2; ; ; ; ; ; ; ; ; ; ;2;2;1;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1344;2;50;50001;1;07;1;1;32;2;3;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;15;0;1;2; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;4; ;1;2;1;2;2;1;2;2;2;15; ;15; ; ;15; ; ; ;6;2;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1345;2;50;50001;1;04;2;1;39;1;4;2;1;3;6;4;4;4;4;4;4;4;4;4;1; ;1; ; ; ; ; ; ; ; ;11; ; ;2;2;2;2;2; ; ; ; ; ;2;10; ;25;0;9;8; ;2;2;2;1;2;2;4; ; ;1; ; ; ; ;1;1;2;4; ;1;1;1;1;2;1;2;2;2;15;15;15;15; ;15; ; ; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2;1;1;1;2;1; ;2;2;1;2;2;1; ; ; ; ; ; ; ; ; ;1
1346;2;50;50001;1;04;2;1;41;1;3;2;1;3;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;7; ;2;6;10;1; ;1;1;1;2;2;2;2;1;1;1; ; ;1; ;1;1;3;3; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1347;2;50;50001;1;04;1;1;35;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;6; ;2;0;4;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;4;1; ;2;2;1;2;2;2;2;2;2; ; ;15; ; ; ; ; ; ;3; ;2; ; ; ; ; ; ; ; ; ; ;2;2;1;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1348;2;50;50001;1;02;1;1;49;1;1;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;7; ;30;0;2;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;4; ;1;2;1;2;2;1;2;2;2;18; ;15; ; ;18; ; ; ;1;4;2; ; ; ; ; ; ; ; ; ; ;2;2;1;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1349;2;50;50001;1;03;1;1;54;1;3;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7; ;5;0;2;3; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;3;5; ;1;2;1;2;2;2;2;2;2;22; ;18; ; ; ; ; ; ;1; ;2; ; ; ; ; ; ; ; ; ; ;2;2;1;2;2;2;1; ;1;2;2;1;2;1; ; ; ; ; ; ; ; ; ;1
1350;2;50;50001;1;04;2;1;17;1;2;2;1;3;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;1; ;1;6;1;5; ;2;2;2;1;2;2;4; ;1;1; ; ; ; ;1;1;2;1; ;1;2;1;1;2;1;1;1;1;15; ;15;15; ;15;15;15;17;6;2;1;1; ; ; ; ; ; ; ; ; ;1;2;1;2;1;2;1; ;2;2;2;1;1; ; ; ; ; ; ; ; ; ; ;1
1351;2;50;50001;1;04;2;1;66;1;3;2;1;3;6;4;3;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7; ;10;0;7;3; ;2;2;2;1;2;2;4; ;1;1;1; ; ; ; ;1;4;9; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
1352;2;50;50001;1;02;1;1;30;2;3;2;1;1;1;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7; ;0;0;7;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;3;4; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;1; ;1;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
